"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"HABITAT";"SPECIFICITY";"GEOGRAPHIC_EXTENT";"BIOLOGICAL_STAGE";"BEHAVIOR__ACTIVITY";"SOURCE";"COMMENTS";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"HABITAT_ID";"SPECIFICITY_ID";"GEOGRAPHIC_EXTENT_ID";"BIOLOGICAL_STAGE_ID";"BEHAVIOR__ACTIVITY_ID";"SOURCE_ID"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"T3 - Coniferous forest";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975636;"https://inpn.mnhn.fr/habitat/cd_hab/51228";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"N1 - Coastal dunes and sandy shores";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";971294;"https://inpn.mnhn.fr/habitat/cd_hab/48262";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"T1 - Deciduous broadleaved forest";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975632;"https://inpn.mnhn.fr/habitat/cd_hab/49241";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"T4 - Lines of trees, small anthropogenic forests, recently felled forest, early-stage forest and coppice";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975638;"https://inpn.mnhn.fr/habitat/cd_hab/50995";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"V3 - Artificial grasslands and herb dominated habitats";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";971298;"https://inpn.mnhn.fr/habitat/cd_hab/52208";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"T4 - Lines of trees, small anthropogenic forests, recently felled forest, early-stage forest and coppice";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975870;"https://inpn.mnhn.fr/habitat/cd_hab/50995";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"U3 - Inland cliffs, rock pavements and outcrops";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972492;"https://inpn.mnhn.fr/habitat/cd_hab/49919";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"T3 - Coniferous forest";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975868;"https://inpn.mnhn.fr/habitat/cd_hab/51228";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"T2 - Broadleaved evergreen forest";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975866;"https://inpn.mnhn.fr/habitat/cd_hab/51338";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V2 - Cultivated areas of gardens and parks";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972496;"https://inpn.mnhn.fr/habitat/cd_hab/52196";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
